# Exchange addresses from proof-of-reserves, blockchain forensics, address clustering, and rich list labels
# Generated: 2026-03-11
#
# Sources:
#   walletexplorer-cluster: Public address clustering data (Bitfinex, OKCoin, Bitcoin.de, CoinJar, Xapo, BitPay, Korbit, Bitso, CaVirtEx, Cryptsy, BleuTrade, BTCC)
#   bitinfocharts-richlist: Public rich list labeled addresses (Gate.io, OKX, BitMEX, Crypto.com)
#   blockchain-forensics: Known forensic addresses from KuCoin 2020 hack, Bitfinex 2016 hack recovery
#
address,entity,source
3MKiiR7W7JmKU9xB1dGHZr3oTKQGzyeiEv,Bitcoin.de,walletexplorer-cluster
3MT6Snjpxc8EvVA9Ub9NUKCw1tzGXTfhqx,Bitcoin.de,walletexplorer-cluster
3MsZViNbeHY3NMuDGcYFSfGqDaK2UwMLdW,Bitcoin.de,walletexplorer-cluster
3N8vFbudt8Q4ooHDPU48sDtiucsbsFpciK,Bitcoin.de,walletexplorer-cluster
3PPHmDGLmBHKv4tWbaQKUKUfQxrCJYLnur,Bitcoin.de,walletexplorer-cluster
3PVDFfPUy4zuANQB2sHyC36iqWhV272QdK,Bitcoin.de,walletexplorer-cluster
3PZZGoyqZYXnDVLvwEx9pDGDB8BjUMDUdo,Bitcoin.de,walletexplorer-cluster
3Pv16w9CF4YqixcchRZYWjd7n96XupLJAB,Bitcoin.de,walletexplorer-cluster
3PzC6GL9h3Z7VSovxXhnWhEhDA2F3oU2Td,Bitcoin.de,walletexplorer-cluster
3QC6KAnChVCbbV1c7sFpx5K3AZ25qzHiLz,Bitcoin.de,walletexplorer-cluster
3QFMq68VtDG7XX1TJqSB2poQV76So5pEiu,Bitcoin.de,walletexplorer-cluster
# Bitfinex
1129A9dFqy4ABDsGQ8RGusbMWYBoZc4myc,Bitfinex,walletexplorer-cluster
122LtqxDXZuQ1fU34Gn83kr6UAHUCQP1Jz,Bitfinex,walletexplorer-cluster
126pCFmyyidpiwSEVeBfjuUWjunSexeEPV,Bitfinex,walletexplorer-cluster
12JnUK69nFQYwDpdVo26GUhNUQ2FdscbK8b,Bitfinex,walletexplorer-cluster
12JsfJ8Y6qoZvfsqu2E4nzAhNqkA2Pe4Ya,Bitfinex,walletexplorer-cluster
12d4QwCwKj2zwCVcpwwhdkrbEHjfkDtmtH,Bitfinex,walletexplorer-cluster
12mKcMszHTdYU3ya5yxBLQhp1HfgDkqbec,Bitfinex,walletexplorer-cluster
12rzdGG3HaMFsE7MkYpEX5YvB9E7qUqk1N,Bitfinex,walletexplorer-cluster
13BYmugkKw3UHgRxeKQPajurpLRjhpEE1X,Bitfinex,walletexplorer-cluster
13FPbyzf2Y5oJqUpDHfsQt8QMukPQx55c6,Bitfinex,walletexplorer-cluster
13VT9amaRZJ247qXxo3kr54CrXgdNwheiz,Bitfinex,walletexplorer-cluster
143grU7zjhQk32MFkg3i3TaUni4EUCAg4K,Bitfinex,walletexplorer-cluster
14FZML8FmmVr43YjAvVSBPdhwuur2J5new,Bitfinex,walletexplorer-cluster
14TLV7Ms7efVLUrYexYNFCZ361CnqNhWTP,Bitfinex,walletexplorer-cluster
15dMQYQqAfhNj3cUPXMuiqVF5G1oEWKmJc,Bitfinex,walletexplorer-cluster
15fYjcCadt5aZyiFveaSrCVgdyFZouyXU6,Bitfinex,walletexplorer-cluster
15ykyQD6M1vQk9PyMXJd4nsJHzEK7RHLkY,Bitfinex,walletexplorer-cluster
15zetdHgZA22s4XAVVBrrJ5YTSsTUjhuMp,Bitfinex,walletexplorer-cluster
165ERUpEs9ktjHx8ymqQ7zg8mjT8wurWVj,Bitfinex,walletexplorer-cluster
16WP5xbvVk9A5wZZaEQFBqz2Cb4ME2puoK,Bitfinex,walletexplorer-cluster
16iu8bQpmCm8aYxPEkWbaCcTrRmDC9uS5d,Bitfinex,walletexplorer-cluster
16ydh3znvBGpBmQpyTT2Kfmakz5P7W6pQN,Bitfinex,walletexplorer-cluster
17dan7s9vaBDotRXt5XfXUEvBnr6ofi8ph,Bitfinex,walletexplorer-cluster
17gZVXZ4g4dEDtiDo7Heg3mWevLcCxe61u,Bitfinex,walletexplorer-cluster
187Wtdn1NmTwq2bZMpLJ85cphGsRFNZjst,Bitfinex,walletexplorer-cluster
18FJAzqBftbXTMsaK1JYwcAifSsmsv8RCx,Bitfinex,walletexplorer-cluster
197jMxWmQgzVq3wAo3ybcwn591kDP1dZfi,Bitfinex,walletexplorer-cluster
19RvJ2MBsnWg1p6XUYi6xwVDHb5wjr85o5,Bitfinex,walletexplorer-cluster
19SEwaY9fyRL9tbyBoKXBE1p4xXFLCAFXx,Bitfinex,walletexplorer-cluster
19VNw8EQWKTmN7u1X15hqyWHrymrCCVWdK,Bitfinex,walletexplorer-cluster
1AWoHw4kYqDdiBLjauL5fe74WCPWoeka9z,Bitfinex,walletexplorer-cluster
1AZmTMCeUbXRvFqGpQdkDzTXoFSWugrMDS,Bitfinex,walletexplorer-cluster
1AdgqFm49hPFWtCtGgd8WTpukBuhiMdiLy,Bitfinex,walletexplorer-cluster
1AisCybQXq1BDhdCpNf1zfbuyi8FBJUrxT,Bitfinex,walletexplorer-cluster
1AkkiPRVrYMoKBvGumQ4KA3VAeDUpAkQTT,Bitfinex,walletexplorer-cluster
1AoGjCpgRNmtFF9AoJw7pyQ45V6mQNmWfC,Bitfinex,walletexplorer-cluster
1As2MR7L3YVRXgg474dercw2SSFxesXMbc,Bitfinex,walletexplorer-cluster
1B1CwPGfd9rETmsk9AawSr865tajqTdrt6,Bitfinex,walletexplorer-cluster
1B8MuMxt3QoGU2Ngg8HXtyy9Qrkwc9Dnou,Bitfinex,walletexplorer-cluster
1Bsw3B5xUrgfp3LHk9WMTSbZVLKAYcFETP,Bitfinex,walletexplorer-cluster
1BycLiTsxX2SwdpHGjnbQFoNU5oySDo7nJ,Bitfinex,walletexplorer-cluster
1C4nqSBnoc6KxqCgXgLqW6txCcwjwcYBpj,Bitfinex,walletexplorer-cluster
1Cc5Te1MZ4dVqUKygmRwFX9GtFuQJfXWu8,Bitfinex,walletexplorer-cluster
1ChSkAhsT2zCM4dnMPKVPqZvmy8CEvitu9,Bitfinex,walletexplorer-cluster
1CkN6W3eFqb4j4C4xRpLcZ6Q2PTdJjRbHU,Bitfinex,walletexplorer-cluster
1CmMKk4zsWk5yZReg4Ln4wPKcnFYTuBw3T,Bitfinex,walletexplorer-cluster
1CtSgJSQAUHdK9VR9zv6rP2zWCD319dgu8,Bitfinex,walletexplorer-cluster
1D2jvZSUvVnQbbaHvxBqyAm4cNHA1pRoaV,Bitfinex,walletexplorer-cluster
1DLsHNBq6AqDR8tqkErLGaXwaoi39n3Q21,Bitfinex,walletexplorer-cluster
1DU6pv3mextRtE1PdbC3YWdC2PjcESBa2o,Bitfinex,walletexplorer-cluster
1DUvE32zPF73D7vAyba5yW7xxJ7u7kznoS,Bitfinex,walletexplorer-cluster
1Dd52EnXoPmYiubDEBv9SDaihsuu4E8gYK,Bitfinex,walletexplorer-cluster
1Dh4tZjFzneQqfYryAFcunYzbyMZEQbHZo,Bitfinex,walletexplorer-cluster
1E5KQmxf71mPLrCNkuxqbgWkRxriL5oX9j,Bitfinex,walletexplorer-cluster
1EF85HtkoqJLvuruuSpUt8FyoLV6kRDRkz,Bitfinex,walletexplorer-cluster
1EFWMicwwC3ZyuZJSvkKrofqmwz63HXHvq,Bitfinex,walletexplorer-cluster
1EgehKpUCCpZ8XkVdAA7w6WmayuVkYZLo7,Bitfinex,walletexplorer-cluster
1FC1BgZbgkpqetdByyBR6GKuFi6eWYSASn,Bitfinex,walletexplorer-cluster
1FQBqWvxwmkmTataSAAa9RpYMV5g9DcMph,Bitfinex,walletexplorer-cluster
1FRuPupcdy3NBiBKW2VGkapJuwuf2GcaTQ,Bitfinex,walletexplorer-cluster
1FVEASn821E6LVNFPQ3X3rXEvtgqmBQ7Zw,Bitfinex,walletexplorer-cluster
1FcLSyBcvSpxRsATGCQxPvWS1uX6RMXUi5,Bitfinex,walletexplorer-cluster
1FiYFw39bGwiYZsseMnqz25iX2sBCCfcj5,Bitfinex,walletexplorer-cluster
1FqgPXZumCXKcn4dgLKnYNn4akTZuXZ911,Bitfinex,walletexplorer-cluster
1G4wYZrdtqrBM2ZDvXfsPQXoxstPTceHqY,Bitfinex,walletexplorer-cluster
1GR87bLeiUpQvyviq8fMf1nHUbF3BQVxeK,Bitfinex,walletexplorer-cluster
1Gfab2KK5BLPv2wERkfGAm7nTP83Hvyd6m,Bitfinex,walletexplorer-cluster
1GgspBiakYDHHVMFZeUKqdajTxgFYo2x4e,Bitfinex,walletexplorer-cluster
1Hbm3EXdSSS5wWpYjHMefzU14avDeQEFaK,Bitfinex,walletexplorer-cluster
1HiSmbVAtKMvm15dCW52JSEvM1Q8STEjTM,Bitfinex,walletexplorer-cluster
1HzCmSh4iVkbme93P1e8HKvEaaGrqqvuPt,Bitfinex,walletexplorer-cluster
1J6snu5ua6zhwgVKWBWTVCi4PaAkaBKxqf,Bitfinex,walletexplorer-cluster
1JAtUdkwcNVcvZQhf3F3ksTQaJXS1gLBBj,Bitfinex,walletexplorer-cluster
1JD5U7pmABH9dyWzwjaqPj4SfSv3Xn4d9S,Bitfinex,walletexplorer-cluster
1JPkpYAuA8JQuM3iKXihGjWVrULbtedDZU,Bitfinex,walletexplorer-cluster
1JTQgn6jTxFPu1G3GNREtWwXoNDhE4rd9n,Bitfinex,walletexplorer-cluster
1JdjFEeVyXFFw8n3JoUwDk45BgqmTVom1s,Bitfinex,walletexplorer-cluster
1JrZWWWPHh8aW6MGPBzwGP71Qk1XW16iKf,Bitfinex,walletexplorer-cluster
1JyLeGv4Qg9mimJcZFVrEWxJgpBwjQcWyH,Bitfinex,walletexplorer-cluster
1K4C3vvnsoZSV711UWmzQgVUyL1h9WRzt2,Bitfinex,walletexplorer-cluster
1KUWA92H6RsLCT7XAWsbL7mLrEBZQnxn44,Bitfinex,walletexplorer-cluster
1Kksk8XpDgP7V4GYZc3qxpo1W7ZhPyXkep,Bitfinex,walletexplorer-cluster
1KukjLJtJkruuv93pYADN3nkTqyjMys3E1,Bitfinex,walletexplorer-cluster
1LqaMeudj3zsvvpt57vpY7DxLUsKgtwnk3,Bitfinex,walletexplorer-cluster
1M3GUnBJbabtmmSy6UFdwq62MQKThurWb1,Bitfinex,walletexplorer-cluster
1M6AP7SwFGnJF7AfYzvrt9xA2GXPcdjQmK,Bitfinex,walletexplorer-cluster
1MAL6Gve3QEvCcDtP2tDLYDnrGjWENU9bF,Bitfinex,walletexplorer-cluster
1MRFkubNb4syprcGb8DSEoLKGnXoVJP2jr,Bitfinex,walletexplorer-cluster
1MYQXUMCQC87iAE4jAhFc1NUBk2mjDA1qs,Bitfinex,walletexplorer-cluster
1MbkPuxSrQeTfs2ruumGJpmGJuJriUkyR4,Bitfinex,walletexplorer-cluster
1MeSGqTstY5fY7CMssPi7GR4ZuboC2QKPK,Bitfinex,walletexplorer-cluster
1NBodLa7B5BREwDvAwznVn7tTauRAS7VYu,Bitfinex,walletexplorer-cluster
1NpatveqWPsPxFXQhrkQTA13uyGbmDapf1,Bitfinex,walletexplorer-cluster
1P1afaY63jp3HkXKafGEvycJLdjkmuetMu,Bitfinex,walletexplorer-cluster
1P6ZpfSTdSCMFd8YM6TcZfehoEw1gkjZES,Bitfinex,walletexplorer-cluster
1PeJQUDcCZorAPQys78Gw6nj25iqkUGPpj,Bitfinex,walletexplorer-cluster
1PeqdU1NyH6coorqvehkQtRxUzDQpddD2r,Bitfinex,walletexplorer-cluster
1Ps2P1w9x2tsGkUcVEpqgKBesRJEiSS5pe,Bitfinex,walletexplorer-cluster
1QAZYxrS1e6zP1dnUZv2s92Jf6WJ2c6915,Bitfinex,walletexplorer-cluster
1cZkNYmu7QLtpk8ReZnMbWbURU53jfPiP,Bitfinex,walletexplorer-cluster
bc1qazcm763858nkj2dj986etajv6wquslv8uxwczt,Bitfinex,blockchain-forensics
# Bitso
11527fVg2u2PHknTgUc1nNiYHyc9uThX7B,Bitso,walletexplorer-cluster
12L8CumUjj2VizphNeiMj14qLPqMzwYYi4,Bitso,walletexplorer-cluster
13evnY9iWZtrW7uq3twyzoo5iLXYtRbduP,Bitso,walletexplorer-cluster
151X29mMsWs8H9Js2pBj4hkAvwMaFF4wR4,Bitso,walletexplorer-cluster
171AB3bHvMCcdnPN8gQicdYKCgUXgu7rW5,Bitso,walletexplorer-cluster
17kgXTvjtdWEJTr5N25yFR4fmkStUYVXms,Bitso,walletexplorer-cluster
17qs9JKh9VtGQfQLoeWQYKZ4XuzVEq63R,Bitso,walletexplorer-cluster
17yk5J4ZVwHLzUmZu7wzMiCw3NZUZm7JCr,Bitso,walletexplorer-cluster
19GQYDJEK9inGs8hom6j7oJEzsNBqe98Ex,Bitso,walletexplorer-cluster
19zuufBYS2aekBZrK6Nh23PYovENNmGBpE,Bitso,walletexplorer-cluster
1AJAPBRWcduABiCEkvwhhWKo8cv5YbwQ1g,Bitso,walletexplorer-cluster
